# -*- fill-column: 79 -*-
#
# This file contains named palettes that can be specified to "bleopt
# colorglass_base16_palette".  The first column is the name of the palette.
# The next 16 values ($2..$17) provides the codes of the basic 16 colors.  $18
# and $19 is the default foreground and background colors, and $20 is the
# cursor color, if available.

# https://github.com/akinomyoga/contra
Ayu                            0x11151c 0xea6c73 0x7fd962 0xf9af4f 0x53bdfa 0xcda1fa 0x90e1c6 0xc7c7c7 0x686868 0xf07178 0xaad94c 0xffb454 0x59c2ff 0xd2a6ff 0x95e6cb 0xffffff 0xbfbdb6 0x0b0e14 0xe6b450
AyuLight                       0x000000 0xea6c6d 0x6cbf43 0xeca944 0x3199e1 0x9e75c7 0x46ba94 0xbababa 0x686868 0xf07171 0x86b300 0xf2ae49 0x399ee6 0xa37acc 0x4cbf99 0xd1d1d1 0x5c6166 0xf8f9fa 0xffaa33
AyuMirage                      0x171b24 0xed8274 0x87d96c 0xfacc6e 0x6dcbfa 0xdabafa 0x90e1c6 0xc7c7c7 0x686868 0xf28779 0xd5ff80 0xffd173 0x73d0ff 0xdfbfff 0x95e6cb 0xffffff 0xcccac2 0x1f2430 0xffcc66
BananaBlueberry                0x17141f 0xff6b7f 0x00bd9c 0xe6c62f 0x22e8df 0xdc396a 0x56b6c2 0xf1f1f1 0x495162 0xfe9ea1 0x98c379 0xf9e46b 0x91fff4 0xda70d6 0xbcf3ff 0xffffff 0xcccccc 0x191323 0xe07d13
Batman                         0x1b1d1e 0xe6dc44 0xc8be46 0xf4fd22 0x737174 0x747271 0x62605f 0xc6c5bf 0x505354 0xfff78e 0xfff27d 0xfeed6c 0x919495 0x9a9a9d 0xa3a3a6 0xdadbd6 0x6f6f6f 0x1b1d1e 0xfcef0c
BelafonteDay                   0x20111b 0xbe100e 0x858162 0xd08b30 0x426a79 0x97522c 0x989a9c 0x968c83 0x5e5252 0xbe100e 0x858162 0xd08b30 0x426a79 0x97522c 0x989a9c 0xd5ccba 0x45373c 0xd5ccba 0x45373c
BelafonteNight                 0x20111b 0xbe100e 0x858162 0xeaa549 0x426a79 0x97522c 0x989a9c 0x968c83 0x5e5252 0xbe100e 0x858162 0xeaa549 0x426a79 0x97522c 0x989a9c 0xd5ccba 0x968c83 0x20111b 0x968c83
BirdsOfParadise                0x573d26 0xbe2d26 0x6ba18a 0xe99d2a 0x5a86ad 0xac80a6 0x74a6ad 0xe0dbb7 0x9b6c4a 0xe84627 0x95d8ba 0xd0d150 0xb8d3ed 0xd19ecb 0x93cfd7 0xfff9d5 0xe0dbb7 0x2a1f1d 0x644a33
BlackMetal                     0x000000 0x486e6f 0xdd9999 0xa06666 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x486e6f 0xdd9999 0xa06666 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Bathory)            0x000000 0x5f8787 0xfbcb97 0xe78a53 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xfbcb97 0xe78a53 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Burzum)             0x000000 0x5f8787 0xddeecc 0x99bbaa 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xddeecc 0x99bbaa 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(DarkFuneral)        0x000000 0x5f8787 0xd0dfee 0x5f81a5 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xd0dfee 0x5f81a5 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Gorgoroth)          0x000000 0x5f8787 0x9b8d7f 0x8c7f70 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0x9b8d7f 0x8c7f70 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Immortal)           0x000000 0x5f8787 0x7799bb 0x556677 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0x7799bb 0x556677 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Khold)              0x000000 0x5f8787 0xeceee3 0x974b46 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xeceee3 0x974b46 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Marduk)             0x000000 0x5f8787 0xa5aaa7 0x626b67 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xa5aaa7 0x626b67 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Mayhem)             0x000000 0x5f8787 0xf3ecd4 0xeecc6c 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xf3ecd4 0xeecc6c 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Nile)               0x000000 0x5f8787 0xaa9988 0x777755 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xaa9988 0x777755 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
BlackMetal(Venom)              0x000000 0x5f8787 0xf8f7f2 0x79241f 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0x404040 0x5f8787 0xf8f7f2 0x79241f 0x888888 0x999999 0xaaaaaa 0xc1c1c1 0xc1c1c1 0x000000 0xc1c1c1
Blazer                         0x000000 0xb87a7a 0x7ab87a 0xb8b87a 0x7a7ab8 0xb87ab8 0x7ab8b8 0xd9d9d9 0x4c4c4c 0xdbbdbd 0xbddbbd 0xdbdbbd 0xbdbddb 0xdbbddb 0xbddbdb 0xffffff 0xd9e6f2 0x0d1926 0xd9e6f2
BlueBerryPie                   0x0a4c62 0x99246e 0x5cb1b3 0xeab9a8 0x90a5bd 0x9d54a7 0x7e83cc 0xf0e8d6 0x463c5d 0xc87272 0x0a6c7e 0x7a3188 0x5f3d63 0xbc94b7 0x5e6071 0x0a6c7e 0xbabab9 0x1c0c28 0xfcfad6
BlueDolphin                    0x292d3e 0xff8288 0xb4e88d 0xf4d69f 0x82aaff 0xe9c1ff 0x89ebff 0xd0d0d0 0x9094a4 0xff8b92 0xddffa7 0xffe585 0x9cc4ff 0xddb0f6 0xa3f7ff 0xffffff 0xc5f2ff 0x006984 0xffcc00
BlueMatrix                     0x101116 0xff5680 0x00ff9c 0xfffc58 0x00b0ff 0xd57bff 0x76c1ff 0xc7c7c7 0x686868 0xff6e67 0x5ffa68 0xfffc67 0x6871ff 0xd682ec 0x60fdff 0xffffff 0x00a2ff 0x101116 0x76ff9f
BlulocoDark                    0x41444d 0xfc2f52 0x25a45c 0xff936a 0x3476ff 0x7a82da 0x4483aa 0xcdd4e0 0x8f9aae 0xff6480 0x3fc56b 0xf9c859 0x10b1fe 0xff78f8 0x5fb9bc 0xffffff 0xb9c0cb 0x282c34 0xffcc00
BlulocoLight                   0x373a41 0xd52753 0x23974a 0xdf631c 0x275fe4 0x823ff1 0x27618d 0xbabbc2 0x676a77 0xff6480 0x3cbc66 0xc5a332 0x0099e1 0xce33c0 0x6d93bb 0xd3d3d3 0x373a41 0xf9f9f9 0xf32759
Borland                        0x4f4f4f 0xff6c60 0xa8ff60 0xffffb6 0x96cbfe 0xff73fd 0xc6c5fe 0xeeeeee 0x7c7c7c 0xffb6b0 0xceffac 0xffffcc 0xb5dcff 0xff9cfe 0xdfdffe 0xffffff 0xffff4e 0x0000a4 0xffa560
Box                            0x000000 0xcc0403 0x19cb00 0xcecb00 0x0d73cc 0xcb1ed1 0x0dcdcd 0xdddddd 0x767676 0xf2201f 0x23fd00 0xfffd00 0x1a8fff 0xfd28ff 0x14ffff 0xffffff 0x9fef00 0x141d2b 0x9fef00
